id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
389,Consomme Printanier,,47,52,1891,1959,0,0.4
391,Chicken Mulligatawny,,38,41,1897,2001,0.2,0.4
392,Split Rolls,,21,21,1900,1901,0,0
393,Blue Point Stew,,3,3,1900,1917,0.35,0.35
394,French bread,,291,293,1882,1970,0.05,0.15
395,Corn bread,,270,272,1853,1941,0,10
396,Crumb Fry,,8,10,1900,1919,0.3,0.45
397,English Beef,,12,12,1900,1913,0.1,0.4
398,Beef Stew,,83,93,1899,1980,0,15
399,Tomato Soup,,317,352,1852,1974,0,10
400,Blue Point Fry,,2,2,1901,1917,0.35,0.4
401,Filet of sole a la Horly,,4,4,1900,1913,0.6,0.8
402,Diamond back terrapin,,6,6,1897,1905,2,2
403,Fried Plaice - Meuniere,,1,1,1901,1901,0,0
405,Sausage & Mashed Potatoes,,3,3,1900,1901,0,0
406,"Fried Jew Fish, Sauce Tartare",,1,1,1901,1901,0,0
407,Fruit in Season,,193,202,1890,1987,0,20
408,GREEN PEAS,,1342,1379,1858,1985,0,75
409,Fried country sausage and buckwheat cakes,,3,3,1900,1900,0,0
410,Stewed california prunes,,8,8,1900,1948,0.15,0.3
411,Ham omelette,,147,153,1891,1985,0,15
412,Fried hominy,,190,190,1881,1967,0.1,0.25
413,Broiled bluefish,,218,225,1880,1963,0.2,60
414,"Egg, to order",,2,2,1900,1900,0,0
415,Diamond stew,,23,23,1900,1901,0,0
417,Boiled or Broiled Salt Mackerel,,13,13,1900,1917,0.25,40
418,Whitefish,,44,45,1900,1917,0.3,0.75
419,"Shad, Maitre d'Hotel",,7,7,1900,1901,0.5,0.5
420,Codfish in Cream,,89,90,1,1941,0,0.6
421,Fried Scollops,,36,36,1865,1917,0.25,0.85
422,Breakfast Bacon,,188,191,1891,1969,0.15,0.75
423,Calf's Liver and Bacon,,362,374,1,1967,0,40
424,Pork Spare Ribs,,5,5,1900,1900,0,0
425,English Mutton Chops,,82,82,1889,1958,0.25,50
426,Broiled Spring Chicken,,226,231,1859,1958,0.1,100
427,Sirloin or Tenderloin Steak,,3,3,1900,1901,,
429,"Corned Beef Hash, Browned",,59,61,1898,1940,0.15,30
430,"Veal Cutlets, Breaded, Tomato Sauce",,31,31,1882,1913,0.2,1
431,"Stewed Honeycomb Tripe, Lyonnaise",,3,3,1900,1900,0,0
432,"Frizzled Beef, in Cream",,6,6,1900,1901,0.3,0.4
433,Eggs as Ordered,,82,83,1898,1949,,
437,Fried Indian Mush or Hominy,,1,1,1900,1900,0,0
439,French Fried,,63,65,1893,1973,0,30
440,Lyonnaise,,103,105,1894,1967,0,35
441,Stewed in Cream,,26,27,1900,2928,0.15,40
442,Saute,,29,30,1900,1961,0.15,15
443,"Rye, Graham or Boston Brown Bread",,1,1,1900,1900,0,0
444,Shredded Wheat Biscuits,,33,33,1899,1921,0,0.3
445,Vienna Rolls,,143,144,1891,1954,0.03,0.15
446,Papovers,,3,3,1900,1900,0,0
447,"wheat or Buckwheat Cakes, with Maple Syrup",,1,1,1900,1900,0,0
448,Corn Meal Mush,,29,29,1892,1918,0.1,0.1
449,Boiled,,53,54,1851,1967,0,25
450,Scotch grouse en casserole,,3,3,1900,1900,0,0
451,Soup á l'écossaise,,3,3,1900,1900,0,0
453,Broiled Blue Fish,,44,49,1865,1957,0.2,3.75
455,Chicken Liver on Toast with Bacon,,3,3,1901,1901,0,0
458,"PUNCH, REPUBLICAN",,3,3,1900,1900,0,0
459,Puff over,,1,1,1900,1900,0.1,0.1
460,Passion Fruit,,10,10,1901,1901,0,0
461,Kippered Herrings,,125,125,1899,1955,0,0.5
462,Curried Pork and Rice,,17,17,1900,1901,0,0
463,Stewed Tripe with Cream sauce,,1,1,1901,1901,0,0
466,"Eggs, boiled",,168,172,1880,1970,0.1,20
467,Fillets of Beef with Mushrooms,,1,1,1901,1901,0,0
468,Consomme Macaroni,,22,22,1892,1907,0.2,0.25
470,Hard Boiled Egg,,11,11,1900,1948,0.05,0.75
471,Cream Cheese,,971,1056,1887,1980,0,25
472,Broiled Mackerel - Maitre d'Hotel,,2,2,1901,1901,0,0
473,Sirloin Steak -- Fried Onions,,1,1,1901,1901,0,0
474,Devilled Chicken,,3,3,1900,1901,0,0
475,Lamb Hash en Bordure,,3,3,1901,1901,0,0
478,Shirred Eggs,,342,347,1858,1969,0,19
479,Broiled Salmon Trout,,9,9,1891,1957,2,2
482,Grilled Mutton Kidneys & Bacon,,1,1,1901,1901,0,0
486,Apfel,,86,86,1899,1972,0,0
487,Maisgries,,65,65,1899,1910,0,0
488,Snowflakes,,19,19,1900,1901,0,0
489,Gebratene Seezunge,,28,28,1899,1910,0,0
490,"Fried Halibut, Sauce Tartare",,3,3,1893,1901,0.4,0.4
491,Yarmouth Bloaters,,85,85,1892,1958,0.2,0.75
493,Fillet Steads with Mushrooms,,1,1,1901,1901,0,0
495,"Curried Prawns and Rice, Bombay Duck",,2,2,1901,1901,0,0
496,"Lamb Chops, Broiled Plain",,2,2,1901,1901,0,0
497,Whiting - Meuniere,,3,3,1901,1901,0,0
498,Broiled Rashers of Bacon with Fried Bananas,,2,2,1901,1901,0,0
499,Sirloin Steak - Fried Onions,,3,3,1901,1901,0,0
500,Lambs' Liver Saute,,3,3,1901,1901,0,0
501,Tripe Fritters,,5,5,1901,1910,0,0
502,Jambon Grille,,9,9,1900,1937,0,0.5
503,Mutton Chops - Saute Potatoes,,2,2,1901,1901,0,0
504,Calfs Liver + Bacon,,1,1,1901,1901,0,0
505,Cold Smoked Tongue and Ham,,2,2,1901,1901,0,0
507,Fried & Boiled Potatoes,,8,8,1899,1901,,
508,Sirloin Steaks aux Cepes,,1,1,1901,1901,0,0
509,Beefsteaks with Horseradish,,1,1,1901,1901,0,0
